proxy,value,n_height,type
OCe,-0.2,-4205,INT
OCe,-0.24,-4075,INT
OCe,-0.28,-3900,INT
OCe,-0.23,-3767.5,INT
OCe,-0.01,-3721.5,INT
OCe,-0.07,-3634.5,INT
OCe,-0.13,-3409.5,INT
OCe,-0.22,-3221.5,INT
OCe,-0.23,-2981.5,INT
OCe,0.03,-2691.5,INT
OCe,0.025,-2503.5,INT
OCe,0.02,-2252,INT
OCe,-0.3,-2015.5,INT
OCe,-0.26,-1739,INT
OCe,-0.24,-1334,INT
OCe,0.09,-1124.5,INT
OCe,-0.3,-1100,INT
OCe,-0.19,-880,INT
OCe,-0.28,-620,INT
OCe,-0.08,-501.5,INT
OCe,-0.08,-339.5,INT
OCe,-0.085,-203.5,INT
OCe,-0.09,-138.5,INT
OCe,-0.106666667,-101,INT
OCe,-0.123333333,-90.5,INT
OCe,-0.14,-76.5,INT
OCe,-0.136666667,-48.5,INT
OCe,-0.133333333,-24,INT
OCe,-0.13,-16.5,INT
OCe,-0.1,-11,INT
OCe,-0.11,-6,INT
OCe,-0.12,-2,INT
OCe,-0.13,2,INT
OCe,-0.16,6,INT
OCe,-0.19,10,INT
OCe,-0.195,17,INT
OCe,-0.2,27,INT
OCe,-0.16,54.5,INT
OCe,-0.01,81.5,INT
OCe,-0.01,124,INT
OCe,-0.18,164.5,INT
OCe,-0.01,470,INT
XCa,-0.6,-340,INT
XCa,-0.62,-204,INT
XCa,-0.74,-139,INT
XCa,-0.74,-101,INT
XCa,-0.76,-91,INT
XCa,-0.8,-77,INT
XCa,-0.73,-49,INT
XCa,-0.86,-24,INT
XCa,-0.72,-17,INT
XCa,-0.75,-11,INT
XCa,-0.86,-6,INT
XCa,-0.91,-2,INT
XCa,-0.95,2,INT
XCa,-0.89,6,INT
XCa,-0.83,10,INT
XCa,-0.79,17,INT
XCa,-0.69,27,INT
XCa,-0.75,55,INT
XCcarb,1.47,-4740,INT
XCcarb,3.65,-4375,INT
XCcarb,3.55,-4320,INT
XCcarb,3.84,-4265,INT
XCcarb,2.09,-4205,INT
XCcarb,3.48,-4075,INT
XCcarb,3.36,-3900,INT
XCcarb,3.28,-3768,INT
XCcarb,3.14,-3722,INT
XCcarb,3,-3635,INT
XCcarb,3.15,-3410,INT
XCcarb,3.34,-3222,INT
XCcarb,3.33,-2982,INT
XCcarb,2.84,-2692,INT
XCcarb,2.78,-2504,INT
XCcarb,2.71,-2252,INT
XCcarb,3.01,-2016,INT
XCcarb,3.99,-1739,INT
XCcarb,3.93,-1334,INT
XCcarb,3.56,-1125,INT
XCcarb,3.2,-1100,INT
XCcarb,3.3,-880,INT
XCcarb,3.51,-620,INT
XCcarb,3.58,-502,INT
XCcarb,3.73,-340,INT
XCcarb,3.95,-204,INT
XCcarb,3.63,-139,INT
XCcarb,3.51,-101,INT
XCcarb,3.4,-91,INT
XCcarb,3.15,-77,INT
XCcarb,2.61,-49,INT
XCcarb,1.41,-24,INT
XCcarb,1.56,-17,INT
XCcarb,-0.59,-11,INT
XCcarb,-0.32,-6,INT
XCcarb,0.17,-2,INT
XCcarb,0.37,2,INT
XCcarb,0.55,6,INT
XCcarb,0.67,10,INT
XCcarb,0.64,17,INT
XCcarb,0.64,27,INT
XCcarb,0.49,55,INT
XCcarb,0.35,82,INT
XCcarb,0.21,124,INT
XCcarb,-0.39,165,INT
XCcarb,-0.99,470,INT
XCcarb,-0.96,823,INT
XCcarb,-0.54,921,INT
XCcarb,0.79,976,INT
XCcarb,0.75,1000,INT
XCcarb,0.71,1032,INT
XCcarb,0.67,1062,INT
XCcarb,1.01,1126,INT
XCcarb,1.82,1215,INT
XCcarb,2.06,1281,INT
XCcarb,2.3,1343,INT
XCcarb,2.47,1396,INT
XCcarb,2.42,1443,INT
XCcarb,2.45,1486,INT
XCcarb,2.49,1506,INT
XCcarb,2.52,1533,INT
XCd,0.47,-340,INT
XCd,0.43,-204,INT
XCd,0.49,-139,INT
XCd,0.5,-101,INT
XCd,0.45,-91,INT
XCd,0.31,-77,INT
XCd,0.28,-49,INT
XCd,0.27,-24,INT
XCd,0.47,-17,INT
XCd,-0.03,-11,INT
XCd,0.06,-6,INT
XCd,0,-2,INT
XCd,0.08,2,INT
XCd,-0.26,6,INT
XCd,-0.23,10,INT
XCd,-0.05,17,INT
XCd,-0.29,27,INT
XCd,0.02,55,INT
XCd,-0.08,82,INT
XCd,-0.2,124,INT
XCorg,-26.42,-4740,INT
XCorg,-25.85,-4375,INT
XCorg,-26.52,-4320,INT
XCorg,-27.2,-4265,INT
XCorg,-27.87,-4205,INT
XCorg,-26.95,-4075,INT
XCorg,-26.02,-3900,INT
XCorg,-25.98,-3768,INT
XCorg,-26.37,-3722,INT
XCorg,-26.77,-3635,INT
