"","bed","X.bed","X.XTOC","X.XThU","X.XZn","X.XS33","X.XS34","X.OCe","X.XSr","X.XOs","X.XO","X.XN","X.XLi","X.XHg","X.XFeHr","X.XFePy","X.XCd","X.XCa","X.XCorg","X.Xccarb"
"4a","4a",  3.666666667,  0.420000000,  0.020000000,NA,NA,NA, -0.200000000,  0.707140000,NA,NA,  2.665000000,NA,NA,NA,NA,NA,NA,-27.870000000,  2.086000000
"4b","4b",  4.333333333,  0.407500000,  0.030000000,NA,NA,NA, -0.240000000,  0.707082500,NA, 19.935000000,  2.650000000,NA,NA,NA,NA,NA,NA,-26.945000000,  3.484857100
"5","5",  5.000000000,  0.395000000,  0.040000000,NA,NA,NA, -0.280000000,  0.707025000,NA, 20.580000000,  2.635000000,NA,NA,NA,NA,NA,NA,-26.020000000,  3.357000000
"6","6",  6.000000000,  0.010000000,  0.110000000,NA,NA,NA, -0.230000000,  0.707060000,NA, 20.885000000,  2.848750000,NA,NA,NA,NA,NA,NA,-25.980000000,  3.280000000
"7","7",  7.000000000,  0.190000000,  0.060000000,NA,NA,NA, -0.010000000,  0.707110000,NA, 20.946500000,  3.062500000,NA,NA,NA,NA,NA,NA,-26.373333333,  3.137500000
"8","8",  8.000000000,  0.370000000,  0.100000000,NA,NA,NA, -0.070000000,  0.707160000,NA, 21.008000000,  3.276250000,NA,NA,NA,NA,NA,NA,-26.766666667,  2.995000000
"9","9",  9.000000000,  0.550000000,  0.040000000,NA,NA,NA, -0.130000000,  0.707105000,NA, 20.815000000,  3.490000000,NA,NA,NA,NA,NA,NA,-27.160000000,  3.153333300
"10","10", 10.000000000,  1.220000000,  0.070000000,NA,NA,NA, -0.220000000,  0.707050000,NA, 21.090835000,  2.200000000,NA,NA,NA,NA,NA,NA,-27.380000000,  3.340000000
"11","11", 11.000000000,  0.235000000,  0.010000000,NA,NA,NA, -0.230000000,  0.707110000,NA, 21.366670000,  0.800000000,NA,NA,NA,NA,NA,NA,-26.595000000,  3.333333300
"12","12", 12.000000000,  0.340000000,  0.020000000,NA,NA,NA,  0.030000000,  0.707110000,NA, 21.040000000,  1.185000000,NA,NA,NA,NA,NA,NA,-26.940000000,  2.835000000
"13a","13a", 12.666666667,  0.600000000,  0.090000000,NA,NA,NA,  0.025000000,  0.707110000,NA, 21.276670000,  1.570000000,NA,NA,NA,NA,NA,NA,-26.220000000,  2.775000000
"13b","13b", 13.333333333,  0.645000000,  0.160000000,NA,NA,NA,  0.020000000,  0.707126667,NA, 21.150000000,  3.500000000,NA,NA,NA,NA,NA,NA,-27.755000000,  2.708333300
"14","14", 14.000000000,  0.400000000,  0.030000000,NA,NA,NA, -0.300000000,  0.707143333,NA, 21.856670000,  2.240000000,NA,NA,NA,NA,NA,NA,-27.155000000,  3.005000000
