"","bed","XTOC","XThU","XZn","XS33","XS34","OCe","XSr","XOs","XO","XN","XLi","XHg","XFeHr","XFePy","XCd","XCa","XCorg","Xccarb"
"1","0",1.82,8.554,0.784333333333333,0.0345178730555556,-24.3746111111111,-0.132,0.707127,4.4085,19.1963333333333,2.01,7.08,278.493206349206,0.6165,0.5675,0.119,-0.826,-25.41,2.34035714285714
"2","1",0.305,0.11,0.61575,0.0668745972,-24.8035277777778,-0.2,0.707132,4.5565,20.2238,2.725,6.44266666666667,118.519333333333,0.616,0.6045,0.332,-0.718,-26.42,1.466
"3","1u",0.09,0.03,0.687333333333333,0.0530203552555556,-20.5836666666667,-0.17,0.70718,4.2625,20.8753333333333,1.597,6.50984615384615,131.242,0.77,0.606333333333333,0.302666666666667,-0.730666666666667,-25.85,3.646
"4","2",0.412857142857143,0.08,0.843666666666667,0.0442121737166667,-17.96835,-0.2,0.707065,4.619,21.1249333333333,1.578,4.19809523809524,127.640666666667,0.703,0.6148,0.199333333333333,-0.688666666666667,-28.0868,3.5485
"5","3",0.6715,0.01,0.58075,0.0667878784888889,-20.6704,-0.16,0.707105,5.2035,21.072,2.15666666666667,6.83,161.437428571429,0.6945,0.644666666666667,0.402333333333333,-0.684,-26.734,3.844
"6","4a",0.42,6.646,0.58475,0.0752175137833333,-25.18,-0.118,0.70714,6.203,20.3736666666667,1.616,7.01384615384615,207.313777777778,0.7114,0.6268,0.325666666666667,-0.834,-27.87,2.086
"7","4b",0.604,4.506,0.749333333333333,0.0629640639833333,-18.8150888888889,-0.136,0.707085,5.986,19.935,1.161,6.35651282051282,195.586666666667,0.709,0.538,0.441,-0.695333333333333,-27.9973333333333,3.48485714285714
"8","5",0.395,0.04,0.838,0.072974579,-23.536,-0.28,0.707025,5.587,20.58,2.635,5.68409523809524,172.492666666667,0.711473684210526,0.7145,0.324,-0.782666666666667,-26.02,3.357
"9","6",0.01,0.11,0.687016666666667,0.0740058011777778,-18.8815277777778,-0.23,0.70706,4.2585,20.885,1.22666666666667,4.52809523809524,172.820095238095,0.718973684210526,0.6325,0.478,-0.75,-25.98,3.28
"10","7",0.666,0.06,0.659083333333333,0.06912498745,-29.9248,-0.01,0.707175,3.269,20.1298333333333,2.404,5.72742857142857,212.038666666667,0.7464,0.561,0.216333333333333,-0.792666666666667,-26.4175,2.34509642857143
"11","8",0.739,0.1,0.56575,0.06736852205,-24.5216,-0.07,0.70716,5.5615,21.008,2.46,4.45035897435897,145.050666666667,0.71,0.661,0.179333333333333,-0.718666666666667,-26.14,2.995
"12","9",0.55,0.04,0.750416666666667,0.0402956860444444,-24.9988888888889,-0.13,0.707134666666667,6.209,20.815,3.49,6.98266666666667,105.746,0.65255,0.63,0.472,-0.727333333333333,-27.16,3.15333333333333
"13","10",1.22,0.07,0.954333333333333,0.0498807443833333,-23.3639333333333,-0.22,0.70705,6.4325,21.315,2.2,7.326,185.605523809524,0.7475,0.717,0.3,-0.744,-27.38,3.34
"14","11",0.235,0.01,0.773,0.06341509665,-25.5542388888889,-0.23,0.70711,3.8055,21.3666666666667,0.8,3.72527472527473,166.922,0.7604,0.6005,0.374666666666667,-0.716666666666667,-26.595,3.33333333333333
"15","12",0.34,0.02,0.746666666666667,0.0651172840555556,-27.7936666666667,0.03,0.707148,3.0385,21.04,2.00666666666667,5.52,163.319,0.7574,0.5773,0.275333333333333,-0.7,-26.94,2.835
"16","13a",0.6,4.33,0.817333333333333,0.0567943791833333,-17.6525,-0.164,0.70711,6.5705,21.2766666666667,1.57,2.07717948717949,167.186666666667,0.657,0.497,0.237333333333333,-0.73,-26.22,2.775
"17","13b",0.645,0.16,0.795,0.0635054507555556,-27.4119722222222,0.02,0.70716,4.519,21.15,3.5,5.90127472527473,115.374666666667,0.5893,0.5425,0.426333333333333,-0.679333333333333,-27.755,2.70833333333333
"18","14",0.352,0.03,0.522833333333333,0.0375057509333333,-22.79835,-0.3,0.707117,6.0825,21.8566666666667,1.41533333333333,4.04527472527473,163.686857142857,0.707,0.668833333333333,0.477,-0.736666666666667,-28.1957333333333,3.005
"19","15",0.155,0.02,0.63075,0.0659581027833333,-20.2474444444444,-0.26,0.70716,3.538,21.5133333333333,0.98,2.23527472527473,86.9213333333333,0.714,0.578833333333333,0.449,-0.708666666666667,-26.555,3.98538461538462
"20","16",0.62,0.04,0.79,0.071483222,-22.6995,-0.24,0.707053333333333,6.27,21.3233333333333,1.58,4.52527472527473,240.110444444444,0.727,0.654,0.442,-0.744666666666667,-28.67,3.9275
"21","17",0.6006,0.03,0.6796,0.0588600047555556,-31.244,0.09,0.707095,2.27,19.4013333333333,2.02333333333333,6.08142857142857,117.800666666667,0.64125,0.5125,0.058,-0.814,-26.8616666666667,0.567005194805195
"22","18",0.214,0.07,0.689083333333333,0.0750708734,-21.7242222222222,-0.3,0.70714,5.6445,21.53,1.19466666666667,3.75266666666667,336.963111111111,0.752,0.695,0.479,-0.788,-27.463,3.2
"23","19",0.11,0.04,0.83,0.0491185055555556,-20.7140888888889,-0.19,0.70709,5.02,21.7114285714286,0.954,2.51619047619048,190.016,0.660223684210526,0.6645,0.381,-0.696,-29.06,3.3045
"24","20",0.19,0,0.8,0.0699399615555556,-19.3757222222222,-0.28,0.70706,9.01,21.1633333333333,0.874,1.6767032967033,248.647666666667,0.6539,0.667666666666667,0.404,-0.764,-29.08,3.51488888888889
"25","21",0.59,0.19,0.626666666666667,0.0730064591555556,-31.2633333333333,-0.08,0.70713,8.2945,21.7033333333333,1.61,3.43809523809524,182.425428571429,0.81,0.64,0.245666666666667,-0.71,-28.11,3.5835
"26","22",0.324285714285714,0.11,0.738,0.03457914225,-21.18875,-0.08,0.70713,4.58,21.41,2.70333333333333,9.88,146.463666666667,0.81,0.5,0.47,-0.6,-27.51,3.73040909090909
"27","23a",0.956666666666667,0.476,0.833333333333333,0.0441020723333333,-19.1188888888889,-0.106,0.707106,7.2325,21.2075,2.079,7.7,237.02853968254,0.825,0.575,0.433333333333333,-0.62,-28,3.94675
"28","23b",0.408,0.29,0.98,0.0674917811111111,-24.6544444444444,-0.09,0.70711,4.28,20.5883333333333,2.41,7.5,241.283857142857,0.72,0.78,0.49,-0.736666666666667,-28.38,3.62566666666667
"29","24a",0.86,11.95,1.08,0.051876645,-23.28,-0.188,0.707103666666667,5.1685,20.7433333333333,1.56933333333333,5.23142857142857,392.818888888889,0.78,0.71,0.5,-0.74,-29.8,2.70366666666667
