bed,XTOC,XThU,XZn,XS33,XS34,OCe,XSr,XOs,XO,XN,XLi,XHg,XFeHr,XFePy,XCd,XCa,XCorg,Xccarb,divRT,stg,sys,system,series,stage,short,formation,member,lithology,facies,SQ,conodonot_zone,conodont_stg,Thickness,Tbottom,Tmid,Ttop,Sbottom,Smid,Stop,actual,Age,Rate..cm.year.,bottom,mid,top,dur,systemCol,seriesCol,col
1,0.305,0.11,NA,NA,NA,-0.2,NA,NA,NA,2.725,NA,NA,NA,NA,NA,NA,-26.42,1.466,,0,P,Permian,Lopingian,Wuchiapingian,Wuc,Longtan,,silty mudstone,III2,SV2:AD2Q0 HST,C. longicuspidata,2,7,-6.99,-3.49,0.01,-5090,-4740,-4390,,NA,0.0012,254.81,254.39,253.97,84000,#e35b41,#f8baab,#fac4b8
1u,0.09,0.03,NA,NA,NA,-0.17,0.70718,NA,NA,2.38853,NA,NA,NA,NA,NA,NA,-25.85,3.646,,1,P,Permian,Lopingian,Wuchiapingian,Wuc,Longtan,,calcareous mudrock,III2,SQ0 HST,C. longicuspidata,2,0.3,0,0.15,0.3,-4390,-4375,-4360,,NA,0.0012,253.97,253.96,253.94,25000,#e35b41,#f8baab,#fac4b8
2,0.6882,0.08,NA,NA,NA,-0.2,0.707065,NA,NA,2.384451,NA,NA,NA,NA,NA,NA,-26.68976,3.5485,,2,P,Permian,Lopingian,Wuchiapingian,Wuc,Changxing,Baoqing,micrite,III1,SQ1 LST,C. longicuspidata,2,0.8,0.3,0.7,1.1,-4360,-4320,-4280,,NA,0.0012,253.94,253.92,253.9,44167,#e35b42,#f8baab,#fac4b8
3,0.681217,0.01,NA,NA,NA,-0.16,0.7070771,NA,NA,2.380371,NA,NA,NA,NA,NA,NA,-26.70351,3.844,,3,P,Permian,Lopingian,Wuchiapingian,Wuc,Changxing,Baoqing,argillaceous micrite,III1,SQ1 TS,C. longicuspidata,2,0.3,1.1,1.25,1.4,-4280,-4265,-4250,,NA,0.0012,253.9,253.89,253.88,21667,#e35b43,#f8baab,#fac4b8
4a,0.42,0.0407919,NA,NA,NA,-0.1695362,0.70714,NA,NA,2.375921,NA,NA,NA,NA,NA,NA,-27.87,2.086,151,4,P,Permian,Lopingian,Wuchiapingian,Wuc,Changxing,Baoqing,micrite,III2,SQ1 TST,C. wangi,3,0.9,1.4,1.85,2.3,-4250,-4205,-4160,,NA,0.0012,253.88,253.84,253.8,75000,#e35b44,#f8baab,#fac4b8
4b,0.6570936,0.04291328,NA,NA,NA,-0.1681107,0.7070799,NA,19.935,2.36628,NA,NA,NA,NA,NA,NA,-26.75104,3.484857143,156,5,P,Permian,Lopingian,Changhsingian,Changhsingian,Changxing,Baoqing,micrite,III2,SQ1 TST,C. wangi,3,1.7,2.3,3.15,4,-4160,-4075,-3990,,NA,0.0012,253.8,253.73,253.66,141667,#e35b45,#a9599e,#fac4b8
5,0.395,0.04,NA,NA,NA,-0.28,0.707025,NA,20.58,2.635,NA,NA,NA,NA,NA,NA,-26.02,3.357,186,6,P,Permian,Lopingian,Changhsingian,Changhsingian,Changxing,Baoqing,micrite,IV1,SQ1 TST,C. wangi,3,1.8,4,4.9,5.8,-3990,-3900,-3810,,NA,0.0012,253.66,253.59,253.51,150000,#e35b46,#a9599e,#fac4b8
6,0.01,0.11,NA,NA,NA,-0.23,0.70706,NA,20.885,2.34351,NA,NA,NA,NA,NA,NA,-25.98,3.28,204,7,P,Permian,Lopingian,Changhsingian,Changhsingian,Changxing,Baoqing,micrite,IV1,SQ1 TST,C. wangi,3,0.85,5.8,6.225,6.65,-3810,-3767.5,-3725,*Shen et al2011,253.49,0.0012,253.51,253.49,253.47,40000,#e35b47,#a9599e,#fac4b8
7,0.612275,0.06,NA,NA,NA,-0.01,0.707085,NA,20.87751,2.340099,NA,NA,NA,NA,NA,NA,-26.83933,3.369168,210,8,P,Permian,Lopingian,Changhsingian,Changhsingian,Changxing,Baoqing,argillaceous micrite,IV1,SQ1 TST,C. wangi,3,0.07,6.65,6.685,6.72,-3725,-3721.5,-3718,*Shen et al2011,253.45,0.0033,253.47,253.45,253.44,27190,#e35b48,#a9599e,#fac4b8
8,0.6012291,0.1,NA,NA,NA,-0.07,0.70716,NA,21.008,2.333646,NA,NA,NA,NA,NA,NA,-26.86109,2.995,229,9,P,Permian,Lopingian,Changhsingian,Changhsingian,Changxing,Baoqing,micrite,IV1,SQ1 TST,C. wangi,3,1.67,6.72,7.555,8.39,-3718,-3634.5,-3551,,NA,0.0033,253.44,253.42,253.39,50030,#e35b49,#a9599e,#fac4b8
9,0.55,0.04,NA,NA,NA,-0.13,0.7070896,NA,20.815,3.49,NA,NA,NA,NA,NA,NA,-27.16,3.153333333,224,10,P,Permian,Lopingian,Changhsingian,Changhsingian,Changxing,Baoqing,micrite,IV1,SQ1 TST,C. wangi,3,2.83,8.39,9.805,11.22,-3551,-3409.5,-3268,,NA,0.0033,253.39,253.35,253.31,84781,#e35b50,#a9599e,#fac4b8
10,1.22,0.07,NA,NA,NA,-0.22,0.70705,NA,21.01866,2.2,NA,NA,NA,NA,NA,NA,-27.38,3.34,209,11,P,Permian,Lopingian,Changhsingian,Changhsingian,Changxing,Baoqing,"micrite, silica",III2,SQ1 TST,C. wangi,3,0.93,11.22,11.685,12.15,-3268,-3221.5,-3175,,NA,0.0033,253.31,253.29,253.28,27861,#e35b51,#a9599e,#fac4b8
11,0.235,0.01,NA,NA,NA,-0.23,0.70711,NA,21.36666667,0.8,NA,NA,NA,NA,NA,NA,-26.595,3.333333333,242,12,P,Permian,Lopingian,Changhsingian,Changhsingian,Changxing,Baoqing,"micrite, silica",IV1,SQ1 mfs,C. subcarinata,4,3.87,12.15,14.085,16.02,-3175,-2981.5,-2788,,NA,0.0033,253.28,253.22,253.16,115938,#e35b52,#a9599e,#fac4b8
12,0.34,0.02,NA,NA,NA,0.03,0.7071,NA,21.04,2.263707,NA,NA,NA,NA,NA,NA,-26.94,2.835,222,13,P,Permian,Lopingian,Changhsingian,Changhsingian,Changxing,Baoqing,"micrite, silica",IV2,SQ1 HST1,C. subcarinata,4,1.93,16.02,16.985,17.95,-2788,-2691.5,-2595,,NA,0.0033,253.16,253.14,253.11,57819,#e35b53,#a9599e,#fac4b8
