PBDB_id,GBDB_id,Access,Ref,Phylum,Class,Order,Family,Genus,open.nomenclature.genus.,species,sp_assignment,open.nomenclature.species.,confirmed_name,identified_name,Section,early_interval,formation,member,bed,letter,range,range_m,stg,stg_ass,metres_bottom,metres_top,lithology1,lithology2,Count
NA,688,FALSE,"Zhao J. K., Sheng J. Z., Yao Z.Q., Liang X.L., Chen C.Z., Rui L., Liao Z.T. 1981. The Changhsingian and the Permian-Triassic boundary in South China. Bulletin of the Nanjing Institute of Geology and Paleontology 2, 1-112.",Mollusca,Cephalapoda,Ceratitida,Araxoceratidae ,,,,FALSE,,Araxoceratidae ,Araxoceratidae ,Meishan,Wuchiapingian,Longtan,,0,,FALSE,,0,TRUE,0,0.1,mudstone,,1
13055,34954,FALSE,"Yin, H. ""The Meishan section, candidate of the global stratotype section and point of Permian-Triassic boundary."" The Palaeozoic-Mesozoic boundary, Candidate of the Global Stratotype Section and Point of the Permian-Triassic Boundary (1996).",Mollusca,Cephalapoda,Ceratitida,Araxoceratidae ,,,,FALSE,,Araxoceratidae ,Araxoceratidae ,Meishan,Wuchiapingian,Longtan,,1,,FALSE,,0,TRUE,0,0.1,siltstone,calcareous,1
NA,688,FALSE,"Zhao J. K., Sheng J. Z., Yao Z.Q., Liang X.L., Chen C.Z., Rui L., Liao Z.T. 1981. The Changhsingian and the Permian-Triassic boundary in South China. Bulletin of the Nanjing Institute of Geology and Paleontology 2, 1-112.",Brachiopoda,Rhynchonellata,Orthida,Enteletidae,Acosarina,,,FALSE,,Acosarina ,Acosarina ,Meishan,Wuchiapingian,Longtan,,0,,FALSE,,0,TRUE,0,0.1,mudstone,,1
13055,34954,FALSE,"Yin, H. ""The Meishan section, candidate of the global stratotype section and point of Permian-Triassic boundary."" The Palaeozoic-Mesozoic boundary, Candidate of the Global Stratotype Section and Point of the Permian-Triassic Boundary (1996).",Brachiopoda,Rhynchonellata,Orthida,Enteletidae,Acosarina,,,FALSE,,Acosarina ,Acosarina ,Meishan,Wuchiapingian,Longtan,,1,,FALSE,,0,TRUE,0,0.1,siltstone,calcareous,1
39112,NA,TRUE,"Chen, Z-Q, and Z-T Liao. Brachiopod faunas across the Wuchiapingian-Changhsingian (Late Permian) boundary at the stratotype section and subsurface of Changxing area, South China.(With 5 figures and 1 table). Neues Jahrbuch fur Geologie und Palaontologie-Abhandlungen 11, no. 3 (2009): 315.",Brachiopoda,Rhynchonellata,Orthida,Enteletidae,Acosarina,,minuta,TRUE,,Acosarina minuta,Acosarina minuta,Meishan D,Wuchiapingian,Longtan,,0,,FALSE,,0,TRUE,0,0.1,,,1
39112,NA,TRUE,"Chen, Z-Q, and Z-T Liao. Brachiopod faunas across the Wuchiapingian-Changhsingian (Late Permian) boundary at the stratotype section and subsurface of Changxing area, South China.(With 5 figures and 1 table). Neues Jahrbuch fur Geologie und Palaontologie-Abhandlungen 11, no. 3 (2009): 315.",Brachiopoda,Rhynchonellata,Orthida,Enteletidae,Acosarina,,minuta,TRUE,,Acosarina minuta,Acosarina minuta,Meishan D,Wuchiapingian,Longtan,,0,,FALSE,,0,TRUE,0,0.1,,,1
NA,34332,TRUE,"Wang, Y., S-Z Shen, C-Q Cao, C. Henderson, G-P Zhu, J-M Liu, and Y-L Xu. Re-study on the Wuchiapingian-Changhsingian Boundary section at Meishan, Changxing Zhejiang Province. Di ceng xue za zhi: Dicengxue zazhi 28, no. 1 (2004): 34.",Brachiopoda,Rhynchonellata,Orthida,Enteletidae,Acosarina,,minuta,TRUE,,Acosarina minuta,Acosarina minuta,Meishan C,Wuchiapingian,Longtan,,1,,FALSE,,0,TRUE,0,0.1,mudstone,calcareous,1
NA,34332,TRUE,"Wang, Y., S-Z Shen, C-Q Cao, C. Henderson, G-P Zhu, J-M Liu, and Y-L Xu. Re-study on the Wuchiapingian-Changhsingian Boundary section at Meishan, Changxing Zhejiang Province. Di ceng xue za zhi: Dicengxue zazhi 28, no. 1 (2004): 34.",Brachiopoda,Rhynchonellata,Orthida,Enteletidae,Acosarina,,minuta,TRUE,,Acosarina minuta,Acosarina minuta,Meishan C,Wuchiapingian,Longtan,,1,,FALSE,,0,TRUE,0,0.1,mudstone,calcareous,1
NA,34332,TRUE,"Wang, Y., S-Z Shen, C-Q Cao, C. Henderson, G-P Zhu, J-M Liu, and Y-L Xu. Re-study on the Wuchiapingian-Changhsingian Boundary section at Meishan, Changxing Zhejiang Province. Di ceng xue za zhi: Dicengxue zazhi 28, no. 1 (2004): 34.",Brachiopoda,Rhynchonellata,Orthida,Enteletidae,Acosarina,,minuta,TRUE,,Acosarina minuta,Acosarina minuta,Meishan C,Wuchiapingian,Longtan,,1,,FALSE,,0,TRUE,0,0.1,mudstone,calcareous,1
17859,NA,TRUE,"Wang, Y., Shen Shuzhong, Cao Changqun, Wang Wei, Charles Henderson, and Jin Yugan. ""The Wuchiapingian–Changhsingian boundary (Upper Permian) at Meishan of Changxing County, South China."" Journal of Asian Earth Sciences 26, no. 6 (2006): 575-583.",Brachiopoda,Rhynchonellata,Orthida,Enteletidae,Acosarina,,minuta,TRUE,,Acosarina minuta,Acosarina minuta,Meishan C,Wuchiapingian,Longtan,,1,,FALSE,,0,TRUE,0,0.1,,,1
33586,,TRUE,"Li W. Z. and Shen S. Z. 2008. Lopingian (Late Permian) brachiopods around the Wuchiapingian-Changhsingian boundary at the Meishan sections C and D, Changxing, south China. Geobios 41:307-320",Brachiopoda,Rhynchonellata,Orthida,Enteletidae,Acosarina,,minuta,TRUE,,Acosarina minuta,Acosarina minuta,Meishan C,Wuchiapingian,Longtan,,1,,FALSE,,0,TRUE,0,0.1,,,1
33586,,TRUE,"Li W. Z. and Shen S. Z. 2008. Lopingian (Late Permian) brachiopods around the Wuchiapingian-Changhsingian boundary at the Meishan sections C and D, Changxing, south China. Geobios 41:307-320",Brachiopoda,Rhynchonellata,Orthida,Enteletidae,Acosarina,,minuta,TRUE,,Acosarina minuta,Acosarina minuta,Meishan C,Wuchiapingian,Longtan,,1,,FALSE,,0,TRUE,0,0.1,,,1
33586,,TRUE,"Li W. Z. and Shen S. Z. 2008. Lopingian (Late Permian) brachiopods around the Wuchiapingian-Changhsingian boundary at the Meishan sections C and D, Changxing, south China. Geobios 41:307-320",Brachiopoda,Rhynchonellata,Orthida,Enteletidae,Acosarina,,minuta,TRUE,,Acosarina minuta,Acosarina minuta,Meishan C,Wuchiapingian,Longtan,,1,,FALSE,,0,TRUE,0,0.1,,,1
33586,,TRUE,"Li W. Z. and Shen S. Z. 2008. Lopingian (Late Permian) brachiopods around the Wuchiapingian-Changhsingian boundary at the Meishan sections C and D, Changxing, south China. Geobios 41:307-320",Brachiopoda,Rhynchonellata,Orthida,Enteletidae,Acosarina,,minuta,TRUE,,Acosarina minuta,Acosarina minuta,Meishan C,Wuchiapingian,Longtan,,1,,FALSE,,0,TRUE,0,0.1,,,1
33586,,TRUE,"Li W. Z. and Shen S. Z. 2008. Lopingian (Late Permian) brachiopods around the Wuchiapingian-Changhsingian boundary at the Meishan sections C and D, Changxing, south China. Geobios 41:307-320",Brachiopoda,Rhynchonellata,Orthida,Enteletidae,Acosarina,,minuta,TRUE,,Acosarina minuta,Acosarina minuta,Meishan C,Wuchiapingian,Longtan,,1,,FALSE,,0,TRUE,0,0.1,,,1
33586,,TRUE,"Li W. Z. and Shen S. Z. 2008. Lopingian (Late Permian) brachiopods around the Wuchiapingian-Changhsingian boundary at the Meishan sections C and D, Changxing, south China. Geobios 41:307-320",Brachiopoda,Rhynchonellata,Orthida,Enteletidae,Acosarina,,minuta,TRUE,,Acosarina minuta,Acosarina minuta,Meishan C,Wuchiapingian,Longtan,,1,,FALSE,,0,TRUE,0,0.1,,,1
