n_height,XO
264,18.71
98,18.22
89,18.16
65,17.83
65,17.63
58,18.66
51,18.27
45,18.59
37,18.77
31,19.05
25,19.47
25,19.19
25,18.91
21,18.57
11,18.84
11,18.65
8,17.9
6,18.94
4,19.4
4,18.54
4,18.64
0,18.65
0,18.84
-4,19.31
-4,18.73
-4,18.92
-8,19.44
-8,18.64
-14,20.09
-18,21
-19,21.12
-22,20.86
-25,21.12
-48,21.02
-56,21.13
-63,20.79
-66,20.9
-68,21.13
-73,21.24
-80,21.28
-85,20.7
-96,20.6
-98,20.63
-101,20.79
-106,20.81
-109,20.04
-114,19.65
-126,20.71
-131,21.37
-154,21.09
-169,20.67
-184,21.54
-189,20.83
-209,21.02
-229,21.44
-241,21.55
-253,21.45
-263,20.61
-289,21.34
-311,22.1
-471,21.83
-501,21.56
-545,21.72
-578,21.94
-615,21.03
-656,20.52
-703,21.02
-783,21.59
-842,22.45
-886,21.97
-908,21.47
-966,21.81
-1024,21.67
-1103,21.53
-1131,21.27
-1214,21.27
-1264,20.95
-1315,21.69
-1388,21.51
-1439,21.25
-1759,20.97
-1801,21.58
-1889,21.99
-1953,21.81
-2012,22.29
-2087,21.47
-2303,21.05
-2384,21.08
-2404,21.32
-2440,21.31
-2480,21.24
-2546,21.28
-2607,21.3
-2651,20.78
-2983,21.67
-3091,21.29
-3142,21.14
-3289,20.72
-3348,20.79
-3414,20.72
-3499,21.03
-3596,20.55
-3630,21.1
-3663,21.44
-3673,21.25
-3716,20.7
-3749,20.96
-3756,20.78
-3776,20.95
-3800,20.85
-3860,20.41
-3878,20.54
-3891,20.33
-3952,21.04
-4000,20.82
-4023,20.21
-4032,20.35
-4038,20.16
-4042,20.12
-4045,19.91
-4049,20.05
-4053,19.81
-4069,19.59
-4104,19.2
-4123,19.26
-4129,19.74
