bed,Sbottom,Smid,Stop
1,-4390,-4375,-4360
2,-4360,-4320,-4280
3,-4280,-4265,-4250
4a,-4250,-4205,-4160
4b,-4160,-4075,-3990
5,-3990,-3900,-3810
6,-3810,-3767.5,-3725
7,-3725,-3721.5,-3718
8,-3718,-3634.5,-3551
9,-3551,-3409.5,-3268
10,-3268,-3221.5,-3175
11,-3175,-2981.5,-2788
12,-2788,-2691.5,-2595
13a,-2595,-2503.5,-2412
13b,-2412,-2252,-2092
14,-2092,-2015.5,-1939
15,-1939,-1739,-1539
16,-1539,-1334,-1129
17,-1129,-1124.5,-1120
18,-1120,-1100,-1080
19,-1080,-880,-680
20,-680,-620,-560
21,-560,-501.5,-443
22,-443,-339.5,-236
23a,-236,-203.5,-171
23b,-171,-138.5,-106
24a,-106,-101,-96
24b,-96,-90.5,-85
24c,-85,-76.5,-68
24d,-68,-48.5,-29
24e,-29,-24,-19
25,-19,-16.5,-14
26,-14,-11,-8
27a,-8,-6,-4
27b,-4,-2,0
27c,0,2,4
27d,4,6,8
28,8,10,12
29a,12,17,22
29b,22,27,32
30,32,54.5,77
31,77,81.5,86
32,86,124,162
33,162,164.5,167
34,167,470,773
35,773,823,873
36,873,921,969
37,969,976,983
38,983,999.5,1016
39,1016,1032,1048
40,1048,1062,1076
41,1076,1125.5,1175
42,1175,1214.5,1254
43,1254,1281,1308
44,1308,1342.5,1377
45,1377,1395.5,1414
46,1414,1442.5,1471
47,1471,1486,1501
48,1501,1505.5,1510
49,1510,1533,1556
